stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening G:\Documentos\GitHub\proyecto-primer-parcial\3erParcial\arboles\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.03183] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03186] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03188] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03190] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03192] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03195] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03197] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03200] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03202] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03206] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03208] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03211] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03213] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03222] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03227] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03230] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03232] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03235] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03237] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03239] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03241] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03244] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.03248] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.05470] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.05475] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.10562] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.14695] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.14699] Success
d3d      D         d3d_disp.cpp:1691 d3d_create_display_internals     [   0.14702] Resumed after wait.
d3d      I         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.14706] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1755 d3d_create_display_internals     [   0.14710] Returning d3d_display: 00904538
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.14712] al_display=00904538
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.14714] al_display->vt=008D2B98
system   D            wsystem.c:738  maybe_parent_dir                 [   0.14731] Also searching G:\Documentos\GitHub\proyecto-primer-parcial\3erParcial\arboles\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.14752] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:699  load_library_at_path             [   0.14754] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:702  load_library_at_path             [   0.15151] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.15158] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.15174] added dtor for bitmap 0B378200, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.15248] added dtor for bitmap 0B391E90, func 52C42243
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15873] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15877] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15880] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15882] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15884] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15886] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15888] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15890] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15891] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.15893] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.15895] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.15898] Found a format
d3d      I         d3d_disp.cpp:2377 d3d_create_bitmap                [   0.15900] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.15942] added dtor for bitmap 0B3AC628, func 52C42243
